a little	một chút
decrease	giảm bớt, làm suy giảm, sự giảm đi, sự giảm sút
deep	sâu, khó lường, bí ẩn
deep foundation	móng sâu
deeply	sâu, sâu xa, sâu sắc
defeat	đánh thắng, đánh bại; sự thất bại
defect notice period 	thời gian thông báo về sai sót (tương đương với nghĩa là thời gian bảo hành)
defects 	sai sót (kỹ thuật)
defence	cái để bảo vệ, vật để chống đỡ, sự che chở
defend	che chở, bảo vệ, bào chữa
define	định nghĩa
definite	xác định, định rõ, rõ ràng
definitely	rạch ròi, dứt khoát
definition	sự định nghĩa, lời định nghĩa
definitions 	các định nghĩa
deflection test	sự thử uốn 
deformation test	sự thử biến dạng 
deformed bar, deformed reinforcement	cốt thép có gờ (cốt thép gai)
deformed reinforcement	cốt thép có độ dính bám cao (có gờ)
deformed reinforcement	cốt thép có độ dính bám cao (có gờ)
degign action effect	hiệu quả hoạt động thiết kế
degree	mức độ, trình độ; bằng cấp; độ
delay	sự chậm trễ, sự trì hoãn, sự cản trở; làm chậm trễ
delegation 	đại diện
deliberate	thận trọng, có tính toán, chủ tâm, có suy nghĩ cân nhắc
deliberately	thận trọng, có suy nghĩ cân nhắc
delicate	thanh nhã, thanh tú, tế nhị, khó xử
delight	sự vui thích, sự vui sướng, điều thích thú; làm vui thích, làm say
delighted	vui mừng, hài lòng
deliver	cứu khỏi, thoát khỏi, bày tỏ, giãi bày
delivery	sự phân phát, sự phân phối, sự giao hàng; sự bày tỏ, phát biếu
demand	sự đòi hỏi, sự yêu cầu; đòi hỏi, yêu cầu
demand load 	tải trọng yêu cầu 
demonstrate	chứng minh, giải thích; bày tỏ, biểu lộ
dense concrete 	bê tông nặng
dentist	nha sĩ
deny	từ chối, phản đối, phủ nhận
department	cục, sở, ty, ban, khoa; gian hàng, khu bày hàng
departure	sự rời khỏi, sự đi, sự khởi hành
depend	phụ thuộc, tùy thuộc; dựa vào, ỷ vào, trông mong vào
deposit	vật gửi, tiền gửi, tiền đặt cọc; gửi, đặt cọc
depress	làm chán nản, làm phiền muộn; làm suy giảm
depressed	chán nản, thất vọng, phiền muộn; suy yếu, đình trệ
depressing	làm chán nản làm thát vọng, làm trì trệ
depth	chiều sâu, độ dày
depth	chiều cao
depth of beam	chiều cao dầm
derive	nhận được từ, lấy được từ; xuất phát từ, bắt nguồn, chuyển hóa từ
describe	diễn tả, miêu tả, mô tả
description	sự mô tả, sự tả, sự miêu tả
desert	sa mạc; công lao, giá trị; rời bỏ, bỏ trốn
deserted	hoang vắng, không người ở
deserve	đáng, xứng đáng
design	sự thiết kế, kế hoạch, đề cương. phác thảo; phác họa, thiết kế
design load 	tải trọng tính toán, tải trọng thiết kế 
desire	ước muốn; thèm muốn, ao ước
desk	bàn
desperate	liều mạng, liều lĩnh; tuyệt vọng
desperately	liều lĩnh, liều mạng
despite	dù, mặc dù, bất chấp
destroy	phá, phá hoại, phá huỷ, tiêu diệt, triệt phá
destruction	sự phá hoại, sự phá hủy, sự tiêu diệt
destructive test	sự thử phá hủy 
detail	chi tiết
detailed	cặn kẽ, tỉ mỉ, nhiều chi tiết
determination	sự xác định, sự định rõ; sự quyết định
determine	xác định, định rõ; quyết định
determined	đã được xác định, đã được xác định rõ
develop	phát triển, mở rộng; trình bày, bày tỏ
development	sự phát triển, sự trình bày, sự bày tỏ
device	kế sách; thiết bị, dụng cụ, máy móc
devote	hiến dâng, dành hết cho
devoted	hiến cho, dâng cho, dành cho; hết lòng, nhiệt tình
diagnostic test	sự thử chẩn đoán
diagonal reinforcement 	cốt (thép) xiên, cốt (thép) đặt chéo 
diagram	biểu đồ
diamond	kim cương
diary	sổ nhật ký; lịch ghi nhớ
dictionary	từ điển
die	chết, từ trần, hy sinh
diet	chế độ ăn uống, chế độ ăn kiêng
difference	sự khác nhau
different	khác, khác biệt, khác nhau
differently	khác, khác biệt, khác nhau
difficult	khó, khó khăn, gay go
difficulty	sự khó khăn, nỗi khó khăn, điều cản trở
dig	đào bới, xới
dile splicing	nối dài cọc
dinner	bữa trưa, chiều
direct	trực tiếp, thẳng, thẳng thắn; gửi, viết cho ai, điều khiển
direct-acting load 	tải trọng tác động trực tiếp 
direction	sự điều khiển, sự chỉ huy
directly	trực tiếp, thẳng
director	giám đốc, người điều khiển, chỉ huy
dirt	đồ bẩn thỉu, đồ dơ bẩn, vật rác rưởi
dirty	bẩn thỉu, dơ bẩn
disabled	bất lực, không có khă năng
disadvantage	sự bất lợi, sự thiệt hại
disagree	bất đồng, không đồng ý, khác, không giống; không hợp
disagreement	sự bất đồng, sự không đồng ý, sự khác nhau
disappear	biến mất, biến đi
disappoint	không làm thỏa ước nguyện, ý mong đợi; thất ước, làm thất
disappointed	thất vọng
disappointing	làm chán ngán, làm thất vọng
disappointment	sự chán ngán, sự thất vọng
disapproval	sự phản đổi, sự không tán thành
disapprove	không tán thành, phản đối, chê
disapproving	phản đối
disaster	tai họa, thảm họa
disc	đĩa
discipline	kỷ luật
discontinuous load 	tải trọng không liên tục 
discount	sự bớt giá, sự chiết khấu, tiền bớt, chiết khấu
discover	khám phá, phát hiện ra, nhận ra
discoveries 	những thứ phát hiện được (khi thi công)
discovery	sự khám phá, sự tìm ra, sự phát hiện ra
discuss	thảo luận, tranh luận
discussion	sự thảo luận, sự tranh luận
disease	căn bệnh, bệnh tật
disgust	làm ghê tởm, làm kinh tởm, làm phẫn nộ
disgusted	chán ghét, phẫn nộ
disgusting	làm ghê tởm, kinh tởm
dish	đĩa
dishonest	bất lương, không thành thật
dishonestly	bất lương, không lương thiện
disk	đĩa, đĩa hát
dislike	sự không ưa, không thích, sự ghét
dismiss	giải tán
display	bày tỏ, phô trương, trưng bày; sự bày ra, phô bày, trưng bày
disposable load 	tải trọng có ích 
disputes	tranh chấp
dissolve	tan rã, phân hủy, giải tán
distance	khoảng cách, tầm xa
distinguish	phân biệt, nhận ra, nghe ra
distribute	phân bổ, phân phối, sắp xếp, phân loại
distributed load 	tải trọng phân bố 
distributing reinforcement 	cốt (thép) phân bố 
distribution	sự phân bổ, sự phân phối, phân phát, sự sắp xếp
distribution reinforcement	cốt thép phân bố
district	huyện, quận
disturb	làm mất yên tĩnh, làm náo động, quấy rầy
disturbing	xáo trộn
divergent beam 	chùm phân kỳ 
divide	chia, chia ra, phân ra
division	sự chia, sự phân chia, sự phân loại
divorce	đã ly dị
do	làm
doctor	bác sĩ y khoa, tiến sĩ
document	văn kiện, tài liệu, tư liệu
dog	chó
dollar	đô la mỹ
domestic	vật nuôi trong nhà,  nội trợ, quốc nội
dominate	chiếm ưu thế, có ảnh hưởng, chi phối; kiềm chế
door	cửa, cửa ra vào
dot	chấm nhỏ, điểm; của hồi môn
double	đôi, hai, kép; cái gấp đôi, lượng gấp đôi; làm gấp đôi
double angle	thép góc ghép thành hình t
double strut trussed beam 	dầm tăng cứng hai trụ chống 
doubt	sự nghi ngờ, sự ngờ vực; nghi ngờ, ngờ vực
down	xuống
downstairs	ở dưới nhà, ở tầng dưới; xống gác; tầng dưới
downward	xuống, đi xuống
downwards	xuống, đi xuống
dozen	tá
draft	bản phác thảo, sơ đồ thiết kế; phác thảo, thiết kế
drag	lôi kéo, kéo lê
drama	kịch, tuồng
dramatic	như kịch, như đóng kịch, thích hợp với sân khấu
dramatically	đột ngột
draw	vẽ, kéo
draw beam 	dầm nâng, cần nâng 
drawbar load 	lực kéo ở móc 
drawbar test	sự thử thanh kéo 
drawer	người vẽ, người kéo
drawing	bản vẽ, bức vẽ, sự kéo
dream	giấc mơ, mơ
dress	quần áo, mặc , ăn mặc
drill test	sự thử khoan 
drink	đồ uống; uống
drive	lái , đua xe; cuộc đua xe
driver	người lái xe
driving	sự lái xe, cuộc đua xe
drop	chảy nhỏ giọt, rơi, rớt; giọt
drop test	sự thử va dập; sự thử thả rơi; sự thử sụt điện áp 
drug	thuốc, dược phẩm; ma túy
drugstore	hiệu thuốc, cửa hàng dược phẩm
drum	cái trống, tiếng trống
drum test	sự thử gõ đập 
drunk	say rượu
dry	khô, cạn; làm khô, sấy khô
dry concrete 	bê tông trộn khô, vữa bê tông cứng 
dry guniting	phun bê tông khô
duct	ống chứa cốt thép dự ứng lực
due	đến kỳ hạn ; xứng đáng, thích đáng
due to	vì, do, tại, nhờ có
dull	chậm hiểu, ngu đần
dummy load 	tải trọng giả 
dummy test	sự thử mô hình; sự thử hình mẫu 
dump	đổ rác; đống rác, nơi đổ rác
duplicate test	sự thử lặp lại 
during	trong lúc, trong thời gian
during stressing operation	trong quá trình kéo căng cốt thép
dust	bụi, rác; rắc , quét bụi, phủi bụi
duty	sự tôn kính, kính trọng; bồn phận, trách nhiệm
dying	sự chết
dynamic strength 	độ bền động, độ bền va chạm
dynamic test	sự thử động lực 
dynamic(al) load 	tải trọng động lực học 
each	mỗi
each other	nhau, lẫn nhau
each other	nhau, lẫn nhau
ear	tai
early	sớm
early strenght concrete 	bê tông mau cứng 
early strength concrete	bê tông hóa cứng nhanh
early warning 	cảnh báo trước
earn	kiếm
earth	đất, trái đất
earthquake test	sự thử sức bền động đất, sự thử sức chịu động đất 
ease	sự thanh thản, sự thoải mái; làm thanh thản, làm yên tâm, làm dễ chịu
easily	dễ dàng
east	hướng đông, phía đông,  đông, ở phía đông
eastern	đông
easy	dễ dàng, dễ tính, ung dung
eat	ăn
eccentric load 	tải trọng lệch tâm 
economic	kinh tế
economy	sự tiết kiệm, sự quản lý kinh tế
edge	lưỡi, cạnh sắc
edition	nhà xuất bản, sự xuất bản
editor	người thu thập và xuất bản, chủ bút
educate	giáo dục, cho ăn học; rèn luyện
educated	được giáo dục, được đào tạo
education	sự giáo dục, sự rèn luyện
effect	hiệu ứng, hiệu quả, kết quả
effective	có kết quả, có hiệu lực
effective depth at the section	chiều cao có hiệu
effectively	có kết quả, có hiệu lực
efficient	có hiệu lực, có hiệu quả
efficiently	có hiệu quả, hiệu nghiệm
effiency test	sự thử công suất, sự thử năng suất; sự thử hiệu suất 
efflorescence	ố mầu trên bề mặt bê tông
effort	sự cố gắng, sự nỗ lực
either	mỗi, một; cũng phải thế
elastic limit load 	tải trọng giới hạn đàn hồi 
elastic strength 	độ bền đàn hồi
elastomatric bearing	gối cao su
elbow	khuỷu tay
elderly	có tuổi, cao tuổi
elect	bầu, quyết định
election	sự bầu cử, cuộc tuyển cử
electric	điện, có điện, phát điện
electrical	điện
electricity	điện, điện lực; điện lực học
electronic	điện tử
elegant	thanh lịch, tao nhã
element	yếu tôd, nguyên tố
elliptical arch	cuốn hình elip
elongation test	sự thử kéo dài; sự thử độ kéo dài 
else	khác, nữa; nếu không
elsewhere	ở một nơi nào khác
email	thư điện tử; gửi thư điện tử
embarrass	lúng túng, làm ngượng nghịu; làm rắc rối, gây khó khăn
embarrassed	lúng túng, bối rối, ngượng; mang nợ
embarrassing	làm lúng túng, ngăn trở
embarrassment	sự lúng túng, sự bối rối
emerge	nổi lên, hiện ra; nổi bật lên
emergency	tình trạng khẩn cấp
emotion	xự xúc động, sự cảm động, mối xác cảm
emotional	cảm động, xúc động, xúc cảm; dễ cảm động, dễ xúc cảm
emotionally	xúc động
emphasis	sự nhấn mạnh, tầm quan trọng
emphasize	nhấn mạnh, làm nổi bật
empire	đế chế, đế quốc
employ	dùng, thuê ai làm gì
employee	người lao động, người làm công
employer	chủ, người sử dụng lao động
employer's risks	rủi ro của chủ đầu tư
employment	sự thuê mướn
empty	trống, rỗng; đổ, dốc; uống, làm cạn
enable	làm cho có thể, có khả năng; cho phép ai làm gì
encounter	chạm chán, bắt gặp; sự chạm trán, sự bắt gặp
encourage	động viên, ủng hộ, giúp đỡ, làm can đảm, mạnh dạn
encouragement	niềm cổ vũ, động viên, khuyến khích, sự làm can đảm
end	giới hạn, sự kết thúc; kết thúc, chấm dứt
end bearing capacity 	sức chống mũi
end girder 	dầm gối tường 
ending	sự kết thúc, sự chấm dứt; phần cuối, kết cục
endurance test	sự thử độ bền; sự thử sức chịu đựng 
endurance-tension test	sự thử độ bền kéo, sự thử sức chịu kéo 
enduranceưtorsion test	sự thử độ bền xoắn, sự thử sức chịu xoắn 
endưquench test	sự thử độ thấm tôi 
enemy	kẻ thù, quân địch
energy	năng lượng, nghị lực, sinh lực
engage	hứa hẹn, cam kết, đính ước
engaged	đã đính ước, đã hứa hôn; đã có người
engine	máy, động cơ
engineer	kỹ sư
engineering	nghề kỹ sư, công việc của kỹ sư
english bond 	xếp mạch kiểu anh
english cross bond/saint andrew's cross bond 	cách xây chéo kiểu anh
enjoy	thưởng thức, thích thú cái gì, được hưởng, có được
enjoyable	thú vị, thích thú
enjoyment	sự thích thú, sự có được, được hưởng
enormous	to lớn, khổng lồ
enough	đủ
enquiry	sự điều tra, sự thẩm vấn
ensure	bảo đảm, chắc chắn
enter	đi vào, gia nhập
entertain	giải trí, tiếp đón, chiêu đãi
entertainer	người quản trò, người tiếp đãi, chiêu đãi
entertaining	giải trí
entertainment	sự giải trí, sự tiếp đãi, chiêu đãi
enthusiasm	sự hăng hái, sự nhiệt tình
enthusiastic	hăng hái, say mê, nhiệt tình
entire	toàn thể, toàn bộ
entirely	toàn vẹn, trọn vẹn, toàn bộ
entitle	cho tiêu đề, cho tên ; cho quyền làm gì
entrance	sự đi vào, sự nhậm chức
entry	sự ghi vào sổ sách, sự đi vào, sự tiếp nhận
envelope	phong bì
environment	môi trường, hoàn cảnh xung quanh
environmental	thuộc về môi trường
epingle pin	cốt thép găm (để truyền lực cắt trượt như neo)
equal	ngang, bằng; người ngang hàng, ngang tài, sức; bằng, ngang
equalizing beam 	đòn cân bằng 
equally	bằng nhau, ngang bằng
equipment	trang, thiết bị
equipment for the distribution of concrete	thiết bị phân phối bê tông
equivalent	tương đương; từ, vật tương đương
equivalent load 	tải trọng tương đương
erection reinforcement	cốt thép thi công
error	lỗi, sự sai sót, sai lầm
escape	trốn thoát, thoát khỏi; sự trốn thoát, lỗi thoát
especially	đặc biệt là, nhất là
essay	bài tiểu luận
essential	bản chất, thực chất, cốt yếu; yếu tố cần thiết
essentially	về bản chất, về cơ bản
establish	lập, thành lập
estate	tài sản, di sản, bất động sản
estimate	sự ước lượng, đánh giá; ước lượng, đánh giá
etc	vân vân
euro	đơn vị tiền tệ của liên minh châu âu
even	ngay cả, ngay, lại còn; bằng phẳng, điềm đạm, ngang bằng
even load 	tải trọng đều, tải trọng phân bố đều 
evening	buổi chiều, tối
event	sự việc, sự kiện
eventually	cuối cùng
ever	từng, từ trước tới giờ
every	mỗi, mọi
everyone	mọi người
everything	mọi vật, mọi thứ
everywhere	mọi nơi
evidence	điều hiển nhiên, điều rõ ràng
evil	xấu, ác; điều xấu, điều ác, điều tai hại
ex- prefix	tiền tố chỉ bên ngoài
exact	chính xác, đúng
exactly	chính xác, đúng đắn
exaggerate	cường điệu, phóng đại
exaggerated	cường điệu, phòng đại
exam	viết tắt của examination
examination	sự thi cử, kỳ thi
examine	thẩm tra, khám xét, hỏi han
example	thí dụ, ví dụ
excellent	xuất sắc, xuất chúng
except	trừ ra, không kể; trừ phi
exception	sự trừ ra, sự loại ra
excess concrete 	vữa bê tông phân lớp 
exchange	trao đổi; sự trao đổi
excite	kích thích, kích động
excited	bị kích thích, bị kích động
excitement	sự kích thích, sự kích động
exciting	hứng thú, thú vị
exclude	ngăn chạn, loại trừ
excluding	ngoài ra, trừ ra
excuse	lời xin lỗi, bào chữa; xin lỗi, tha thứ, tha lỗi
executive	sự thi hành, chấp hành;  sự thi hành, chấp hành
exempli gratia	trứng
exercise	bài tập, sự thi hành, sự thực hiện; làm, thi hành, thực hiện
exhibit	trưng bày, triển lãm; vật trưng bày, vật triển lãm
exhibition	cuộc triển lãm, trưng bày
exist	tồn tại, sống
existence	sự tồn tại, sự sống
exit	lỗi ra, sự đi ra, thoát ra
expand	mở rộng, phát triển, nở, giãn ra
expanded slag concrete 	bê tông xỉ nở 
expect	chờ đợi, mong ngóng; liệu trước
expectation	sự mong chờ, sự chờ đợi
expected	được chờ đợi, được hy vọng
expense	chi phí
expensive	đắt
experience	kinh nghiệm; trải qua, nếm mùi
experienced	có kinh nghiệm, từng trải, giàu kinh nghiệm
experiment	cuộc thí nghiệm; thí nghiệm
expert	chuyên gia; chuyên môn, thành thạo
explain	giải nghĩa, giải thích
explanation	sự giải nghĩa, giải thích
explode	đập tan , làm nổ, nổ
explore	thăm dò, thám hiểm
explosion	sự nổ, sự phát triển ồ ạt
export	xuất khẩu; hàng xuất khẩu, sự xuất khẩu
expose	trưng bày, phơi bày
exposed concrete 	bê tông mặt ngoài(công trình) 
exposed reinforcement	cốt thép lộ ra ngoài
exposure test	sự thử phơi sáng
express	diễn tả, biểu lộ, bày tỏ; nhanh, tốc hành
expression	sự diễn tả, sự bày tỏ, biểu lộ, sự diễn đạt
extend	giơ, duỗi ra , dành cho, gửi lời
extension	sự giơ, duỗi; sự kéo dài, sự dành cho, gửi lời
extension of intended completion date 	gia hạn ngày hoàn thành dự kiến
extensive	rộng rãi, bao quát
extent	quy mô, phạm vi
external prestressed concrete	bê tông cốt thép dự ứng lực ngoài
extra	thêm, phụ, ngoại; thứ thêm, phụ
extraordinary	đặc biệt, lạ thường, khác thường
extreme	vô cùng, khắc nghiệt, quá khích, cực đoan; sự quá khích
extremely	vô cùng, cực độ
eye	mắt
fabric reinforcement 	cốt (thép) lưới 
face	mặt, thể diện; đương đầu, đối phó, đối mặt
face-bend test	sự thử uốn bề mặt (thử mối hàn) 
facility	điều kiện dễ dàng, sự dễ dàng, thuận lợi
fact	việc, sự việc, sự kiện
factor	nhân tố
factory	nhà máy, xí nghiệp, xưởng
fail	sai, thất bại
failing load 	tải trọng phá hủy 
failure	sự thất bại, người thất bại
failure-rate test	sự thử tốc độ phá hủy 
faint	nhút nhát, yếu ớt
faintly	nhút nhát, yếu ớt
fair	hợp lý, công bằng; thuận lợi
fairly	hợp lý, công bằng
faith	sự tin tưởng, tin cậy; niềm tin, vật đảm bảo
faithful	trung thành, chung thủy, trung thực
faithfully	trung thành, chung thủy, trung thực
fall	rơi, ngã, sự rơi, ngã
fall asleep	ngủ thiếp đi
fall over	ngã lộn nhào, bị đổ
false	sai, nhầm, giả dối
fame	tên tuổi, danh tiếng
familiar	thân thiết, quen thộc
family	gia đình, thuộc gia đình
famous	người hâm mộ
fan beam 	chum tia hình quạt 
fancy	tưởng tượng, cho, nghĩ rằng; tưởng tượng
far	xa
farm	trang trại
farmer	nông dân, người chủ trại
farming	công việc trồng trọt, đồng áng
fascia beam 	dầm có cánh 
fascia girder 	dầm biên 
fashion	mốt, thời trang
fashionable	đúng mốt, hợp thời trang
fast	nhanh
fasten	buộc, trói
fat	béo, béo bở; mỡ, chất béo
father	cha
fatigue strength 	giới hạn mỏi
fatigue test	sự thử độ mỏi
faucet	vòi
fault	sự thiết sót, sai sót
favour	thiện ý, sự quý mến; sự đồng ý; sự chiếu cố
fear	sự sợ hãi, e sợ; sợ, lo ngại
feather	lông chim
feature	nét đặt biệt, điểm đặc trưng; mô tả nét đặc biệt, đặc trưng của...
february	tháng 2
federal	liên bang
fee	tiền thù lao, học phí
feed	cho ăn, nuôi
feeder skip 	thùng tiếp liệu
feel	cảm thấy
feel sick	buồn nôn
feeling	sự cảm thấy, cảm giác
fellow	anh chàng , đồng chí
female	thuộc giống cái; giống cái
fence	hàng rào
fence 	bờ rào, tường rào
fender beam 	dầm chắn 
festival	lễ hội, đại hội liên hoan
fetch	tìm về, đem về; làm bực mình; làm say mê, quyến rũ
fever	cơn sốt, bệnh sốt
few	ít,vài; một ít, một vài
fibrous concrete 	bê tông sợi 
fictitious load 	tải trọng ảo 
field	cánh đồng, bãi chiến trường
field connection	mối nối ở hiện trường
field connection use high strength bolt	mối nối ở hiện trường bằng bu lông cường độ cao
field connection use high strength bolt	mối nối ở hiện trường bằng bu lông cường độ cao
field test	sự thử ở hiện trường
fight	đấu tranh, chiến đấu; sự đấu tranh, cuộc chiến đấu
fighting	sự chiến đấu, sự đấu tranh
figure	hình dáng, nhân vật; hình dung, miêu tả
file	hồ sơ, tài liệu
fill	làm đấy, lấp kín
film	phim, được dựng thành phim
final	cuối cùng, cuộc đấu chung kết
final account 	quyết toán
finally	cuối cùng, sau cùng
finance	tài chính; tài trợ, cấp vốn
financial	thuộc
find	tìm, tìm thấy
find out sth	khám phá, tìm ra
fine	tốt, giỏi
fine concrete 	bê tông mịn 
finely	đẹp đẽ, tế nhị, cao thượng
finger	ngón tay
finish	kết thúc, hoàn thành; sự kết thúc, phần cuối
finished	hoàn tất, hoàn thành
fire	lửa; đốt cháy
firm	hãng, công ty; chắc, kiên quyết, vũng vàng, mạnh mẽ
firmly	vững chắc, kiên quyết
first course 	hàng /lớp gạch đầu tiên
first det	thứ nhất, đầu tiên, trước hết; người, vật đầu tiên, thứ nhất
first floor ( second floor nếu là tiếng anh mỹ ) 	lầu một (tiếng nam), tầng hai (tiếng bắc)
fish	cá, món cá; câu cá, bắt cá
fish-bellied beam 	dầm phình giữa, dầm bụng cá (để có sức bền đều) 
fishing	sự câu cá, sự đánh cá
fit	hợp, vừa; thích hợp, xứng đáng
fix	đóng, gắn, lắp; sửa chữa, sửa sang
fix the ends of reinforcement	giữ cố định đầu cốt thép
fixation on the form	giữ cho cố định vào ván khuôn
fixed beam 	dầm ngàm hai đầu, dầm cố định 
fixed load 	tải trọng cố định, tải trọng không đổi 
flag	quốc kỳ
flame	ngọn lửa
flange reinforcement	cốt thép bản cánh
flanged beam 	dầm có bản cánh, dầm có gờ; dầm chữ i 
flash	loé sáng, vụt sáng; ánh sáng lóe lên, đèn nháy
flat	bằng phẳng, bẹt, nhẵn; dãy phòng, căn phòng, mặt phẳng
flat bar	thép dẹt
flat pratt girder 	dầm flat phẳng
flavour	vị, mùi; cho gia vị, làm tăng thêm mùi vị
flesh	thịt
flexible sheath	ống mềm (chứa cáp, thép dưl)
flexural strength 	giới hạn bền uốn
flight	sự bỏ chạy, rút chạy; sự bay, chuyến bay
float	lụt, lũ lụtl; tràn đầy, tràn ngập
float 	bàn xoa
floated concrete 	(vữa) bê tông nhão/bê tông chảy lỏng 
floor	sàn, tầng
floor beam 	dầm sàn 
flour	bột, bột mỳ
flow	sự chảy; chảy
flow test	sự thử tính lưu động của vật liệu (sơn, vữa...) 
flow test of concete	sự thử độ sụt (hình nón) của vữa bê tông 
flower	hoa, bông, đóa, cây hoa
flu	bệnh cúm
fluctuating load 	tải trọng dao động 
fly	bay; sự bay, quãng đường bay
fly-ash concrete 	bê tông bụi tro
flying	biết bay; sự bay, chuyến bay
foam concrete 	bê tông bọt 
focus	tập trung; trung tâm, trọng tâm
fold	gấp, vén, xắn; nếp gấp
folding	gấp lại được
follow	đi theo sau, theo, tiếp theo
following	tiếp theo, theo sau, sau đây; sau, tiếp theo
food	đồ ăn, thức, món ăn
foot	chân, bàn chân
football	bóng đá
footing	bệ móng
for	cho, dành cho...
for instance	ví dụ chẳng hạn
force	sức mạnh; ép buộc, cưỡng ép
forces on parapets	lực lên lan can
forecast	sự dự đoán, dự báo; dự đoán, dự báo
foreign	nước ngoài, từ nước ngoài, ở nước ngoài
forest	rừng
forever	mãi mãi
forget	quên
forgive	tha, tha thứ
fork	cái nĩa
form	hình thể, hình dạng, hình thức; làm thành, được tạo thành
form	ván khuôn
form exterior face 	bề mặt ván khuôn
form removal	dỡ ván khuôn
form vibrator	đầm cạnh (rung ván khuôn)
formal	hình thức
formally	chính thức
former	trước, cũ, xưa, nguyên
formerly	trước đây, thuở xưa
formula	công thức, thể thức, cách thức
fortune	sự giàu có, sự thịnh vượng
forward	về tương lai, sau này ở phía trước, tiến về
forward	ở phía trước, tiến về phía trước
fouilk, bouchon	bê tông bịt đáy (của móng cáp cọc, của giếng, của hố)
found	tìm, tìm thấy
foundation	sự thành lập, sự sáng lập; tổ chức
foundation	móng
foundation beam	dầm móng
foundation girder 	dầm móng 
foundation material	vật liệu của móng
foundation soil	đất nền bên dưới móng
fractural strength 	sức cản đứt
fracture test	sự thử đứt gãy 
frame	cấu trúc, hệ thống; dàn xếp, bố trí
frame girder 	giàn khung 
frame reinforcement 	cốt (thép) giàn 
free	miễn phí, tự do, giải phóng, trả tự do
free beam 	dầm tự do 
free-bend test	sự thử uốn tự do 
free-fall test	sự thử rơi tự do 
freedom	sự tự do; nền tự do
freely	tự do, thoải mái
freeze	đóng băng, đông lạnh
freeze	sự đông lạnh, sự giá lạnh; làm đông, làm đóng băng
freezing test	sự thử đông lạnh; sự thử tính chịu đông lạnh 
frequent	thường xuyên
frequently	thường xuyên
fresh	tươi, tươi tắn
fresh concrete	bê tông tươi (mới trộn xong)
fresh concrete 	bê tông mới đổ 
freshly	tươi mát, khỏe khoắn
friability test	sự thử độ giòn 
frictional strength 	độ bền ma sát
friday	thứ sáu
fridge	tủ lạnh
friend	người bạn
friendly	thân thiện, thân mật
friendship	tình bạn, tình hữu nghị
frighten	làm sợ, làm hoảng sợ
frightened	hoảng sợ, khiếp sợ
frightening	kinh khủng, khủng khiếp
from	từ
front	mặt; đằng trước, về phía trước
front beam 	dầm trước 
frozen	lạnh giá
fruit	quả, trái cây
fry	rán, chiên; thịt rán
fuck	quan hệ tình dục
fuel	chất đốt, nhiên liệu
fuel consumption test	sự thử nghiệm tiêu hao nhiên liệu 
full	đầy, đầy đủ
full load 	tải trọng toàn phần 
full-scale test	sự thử nguyên cỡ; sự thử mô hình nguyên cỡ 
fully	đầy đủ, hoàn toàn
fun	sự vui đùa, sự vui thích; hài hước
function	chức năng; họat động, chạy
fund	kho, quỹ; tài trợ, tiền bạc, để tiền vào công quỹ
fundamental	cơ bản, cơ sở, chủ yếu
funeral	lễ tang, đám tang
funny	buồn cười, khôi hài
fur	bộ da lông thú
furniture	đồ đạc
further	xa hơn nữa; thêm nữa
further, furthest	cấp so sánh của far
future	tương lai
gain	lợi, lợi ích; giành được, kiếm được, đạt tới
gallon	galông 1gl = 4, 54 lít ở anh, 3, 78 lít ở mỹ
galvanised steel	thép mạ kẽm
gamble	đánh bạc; cuộc đánh bạc
gambling	trò cờ bạc
game	trò chơi
gap	đèo, lỗ hổng, kẽ hở; chỗ trống
garage	nhà để ô tô
garbage	lòng, ruột
garden	vườn
gas	khí, hơi đốt
gas concrete 	bê tông xốp 
gasoline	dầu lửa, dầu hỏa, xăng
gate	cổng
gate 	cửa
gather	tập hợp; hái, lượm, thu thập
gear	cơ cấu, thiết bị, dụng cụ
general	chung, chung chung; tổng
general conditions of contract 	các điều kiện chung của hợp đồng
generally	nói chung, đại thể
generate	sinh, đẻ ra
generation	sự sinh ra, sự phát sinh ra; thế hệ, đời
generous	rộng lượng, khoan hồng, hào phóng
generously	rộng lượng, hào phóng
gentle	hiền lành, dịu dàng, nhẹ nhàng
gentleman	người quý phái, người thượng lưu
gently	nhẹ nhàng, êm ái, dịu dàng
genuine	thành thật, chân thật; xác thực
genuinely	thành thật, chân thật
geography	địa lý, khoa địa lý
get	được, có được
get off	ra khỏi, thoát khỏi
get on leo	trèo lên
giaalmost	hầu như, gần như
giant	người khổng lồ, người phi thường; khổng lồ, phi thường
gift	quà tặng
girl	con gái
girlfriend	bạn gái, người yêu
give	cho, biếu, tặng
give birth	sinh ra
give sth away	cho, phát
give sth out	chia, phân phối
give up	bỏ, từ bỏ
glad	vui lòng, sung sướng
glass	kính, thủy tinh, cái cốc, ly
glass concrete 	bê tông thủy tinh 
glass-reinforced conc. 	bê tông cốt thủy tinh
glasses	kính đeo mắt
glavel concrete 	bê tông (cốt liệu) sỏi 
glazed concrete 	bê tông trong 
global	toàn cầu, toàn thể, toàn bộ
glove	bao tay, găng tay
glue	keo, hồ; gắn lại, dán bằng keo, hồ
gluing of steel plate	dán bản thép
go	đi
go down	đi xuống
go up	đi lên
go wrong	mắc lỗi, sai lầm
